Label Id	Label Name	Number Of Voxels	Volume (mm^3)	Image mean (1004_3)	Image stdev (1004_3)
150	Right MPrG  precentral gyrus medial segment	3233	3233	866.409	161.088
151	Left MPrG  precentral gyrus medial segment	3800	3800	853.164	162.435
152	Right MSFG  superior frontal gyrus medial segment	12041	12041	806.551	140.245
153	Left MSFG  superior frontal gyrus medial segment	9515	9515	810.281	139.604
154	Right MTG   middle temporal gyrus	19892	19892	833.745	135.571
155	Left MTG   middle temporal gyrus	15774	15774	799.627	142.134
156	Right OCP   occipital pole	3624	3624	918.203	169.308
157	Left OCP   occipital pole	3557	3557	890.516	170.647
160	Right OFuG  occipital fusiform gyrus	3941	3941	861.879	142.31
161	Left OFuG  occipital fusiform gyrus	6412	6412	860.189	144.376
162	Right OpIFG opercular part of the inferior frontal gyrus	4464	4464	819.367	146.778
163	Left OpIFG opercular part of the inferior frontal gyrus	4329	4329	833.245	135.387
164	Right OrIFG orbital part of the inferior frontal gyrus	2477	2477	809.013	131.979
165	Left OrIFG orbital part of the inferior frontal gyrus	1317	1317	820.622	130.88
166	Right PCgG  posterior cingulate gyrus	4816	4816	835.993	136.25
167	Left PCgG  posterior cingulate gyrus	5959	5959	815.326	148.4
168	Right PCu   precuneus	14166	14166	842.781	149.279
169	Left PCu   precuneus	13777	13777	826.444	152.788
170	Right PHG   parahippocampal gyrus	3118	3118	810.599	137.821
171	Left PHG   parahippocampal gyrus	3611	3611	817.822	138.264
172	Right PIns  posterior insula	3132	3132	820.532	128.546
173	Left PIns  posterior insula	3015	3015	829.081	126.795
174	Right PO    parietal operculum	2978	2978	816.723	155.651
175	Left PO    parietal operculum	5038	5038	835.095	141.484
176	Right PoG   postcentral gyrus	12782	12782	860.988	177.797
177	Left PoG   postcentral gyrus	14634	14634	859.277	174.27
178	Right POrG  posterior orbital gyrus	3328	3328	801.276	129.825
179	Left POrG  posterior orbital gyrus	3245	3245	778.487	137.279
180	Right PP    planum polare	2853	2853	838.447	141.418
181	Left PP    planum polare	2736	2736	833.001	133.833
182	Right PrG   precentral gyrus	15533	15533	870.796	160.693
183	Left PrG   precentral gyrus	13479	13479	882.568	164.55
184	Right PT    planum temporale	3652	3652	843.172	149.873
185	Left PT    planum temporale	5104	5104	833.356	146.118
186	Right SCA   subcallosal area	1284	1284	829.167	116.274
187	Left SCA   subcallosal area	1439	1439	762.872	133.496
190	Right SFG   superior frontal gyrus	17107	17107	836.633	141.965
191	Left SFG   superior frontal gyrus	17390	17390	829.554	145.923
192	Right SMC   supplementary motor cortex	7333	7333	834.188	148.642
193	Left SMC   supplementary motor cortex	7195	7195	836.24	146.269
194	Right SMG   supramarginal gyrus	11114	11114	849.102	152.414
195	Left SMG   supramarginal gyrus	13827	13827	844.152	153.205
196	Right SOG   superior occipital gyrus	4634	4634	901.308	172.176
197	Left SOG   superior occipital gyrus	5779	5779	882.204	160.37
198	Right SPL   superior parietal lobule	14025	14025	852.886	165.354
199	Left SPL   superior parietal lobule	12291	12291	844.772	164.304
200	Right STG   superior temporal gyrus	9288	9288	845.143	139.499
201	Left STG   superior temporal gyrus	9218	9218	822.703	141.42
202	Right TMP   temporal pole	10480	10480	705.36	146.339
203	Left TMP   temporal pole	11907	11907	731.474	137.808
204	Right TrIFG triangular part of the inferior frontal gyrus	4242	4242	829.769	140.989
205	Left TrIFG triangular part of the inferior frontal gyrus	5725	5725	825.592	144.373
206	Right TTG   transverse temporal gyrus	1784	1784	846.794	154.179
207	Left TTG   transverse temporal gyrus	2397	2397	868.091	155.753
